,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,"kg 1,4-DCB-Eq/GW",386045875.2288,386024592.0214,386039928.5065,386031788.213,386027757.7703,386035911.805
Natural Gas,"kg 1,4-DCB-Eq/GW",1281922471.7055,1671384297.5373,1488697657.2324,1512707013.0404,1190125851.1917,1433907215.1154
Hydro,"kg 1,4-DCB-Eq/GW",1804806780.3281,10788110.0297,1802893774.8895,1750216064.3223,1805070169.4626,1805129183.4858
Nuclear,"kg 1,4-DCB-Eq/GW",2338720154.0,33425485.7546,108400938.1717,33479398.2919,33519389.7352,786103201.8641
Solar,"kg 1,4-DCB-Eq/GW",34039402283.0346,51351500899.624,53697579097.5761,54149107128.393,30801391146.2523,33688546740.4503
Wind,"kg 1,4-DCB-Eq/GW",19398649579.8802,37155687494.0526,30715534659.672,33325824634.8675,18981826723.0929,29241232049.1431
Bio,"kg 1,4-DCB-Eq/GW",0.0,3047076.056,3053867.741,3049333.7433,0.0,0.0
Bio CCS,"kg 1,4-DCB-Eq/GW",1666736127.8058,1666735672.5018,1666736108.8399,1666736114.875,1044831.5409,1666736174.2281
Gas CCS,"kg 1,4-DCB-Eq/GW",139323.3875,133378.8637,145940.5707,134233.3464,73185.4538,125068.383
Coal CCS,"kg 1,4-DCB-Eq/GW",117890.37,101321.7698,121804.7659,111194.3914,86426.5673,105825.4649
Total,"kg 1,4-DCB-Eq/GW",60916540485.7406,92278828328.2107,89869203777.9658,92827396903.484,53199165481.0669,69007921369.9398
