,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,kg P-Eq/GW,56271651.3924,56268549.0636,56270784.5734,56269598.0104,56269010.5163,56270199.0823
Natural Gas,kg P-Eq/GW,178319527.6734,232494916.8736,207082619.2265,210422397.6312,165550323.3156,199461092.9837
Hydro,kg P-Eq/GW,57682096.2189,344790.815,57620956.0653,55937362.6732,57690514.2045,57692400.3081
Nuclear,kg P-Eq/GW,57384332.6468,820149.0846,2659794.7106,821471.9171,822453.1727,19288330.651
Solar,kg P-Eq/GW,640095893.7678,965642245.7525,1009759207.8683,1018249992.6372,579206527.5152,633498210.5815
Wind,kg P-Eq/GW,436107165.8761,835308741.5948,690525632.3972,749208385.4677,426736439.6306,657381369.9333
Bio,kg P-Eq/GW,0.0,102793.1177,103022.2352,102869.2808,0.0,0.0
Bio CCS,kg P-Eq/GW,56230847.6173,56230832.2566,56230846.9774,56230847.181,35249.5888,56230849.1834
Gas CCS,kg P-Eq/GW,17993.8575,17226.1119,18848.4782,17336.4699,9452.0285,16152.7989
Coal CCS,kg P-Eq/GW,16361.4359,14061.9598,16904.6961,15432.1334,11994.7265,14687.0059
Total,kg P-Eq/GW,1482125870.4861,2147244306.6302,2080288617.2284,2147275693.4017,1286331964.6987,1679853292.5282
