,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,"kg 1,4-DCB-Eq/GW",5322543874.4947,5322250435.7798,5322461885.0405,5322349652.0859,5322294083.0216,5322406505.4313
Natural Gas,"kg 1,4-DCB-Eq/GW",17844852013.6796,23266309863.3877,20723241828.4076,21057461261.1683,16567007881.4626,19960537879.5161
Hydro,"kg 1,4-DCB-Eq/GW",39820162627.4215,238022319.3455,39777955235.1942,38615706165.381,39825973885.6025,39827275935.234
Nuclear,"kg 1,4-DCB-Eq/GW",28706673541.7762,410281882.5468,1330569772.7004,410943633.2071,411434509.0854,9649041569.7929
Solar,"kg 1,4-DCB-Eq/GW",536366648386.3883,809157346481.0679,846125037318.4348,853239867788.3708,485344566199.6112,530838137342.6572
Wind,"kg 1,4-DCB-Eq/GW",342342874720.3846,655714966990.2299,542060641420.7232,588126434314.3202,334986881487.2398,516042490424.2894
Bio,"kg 1,4-DCB-Eq/GW",0.0,79332012.4967,79508837.1074,79390792.4125,0.0,0.0
Bio CCS,"kg 1,4-DCB-Eq/GW",43399914953.8127,43399903098.2132,43399914459.9613,43399914617.1082,27206226.1445,43399916162.5964
Gas CCS,"kg 1,4-DCB-Eq/GW",2097685.6612,2008183.5141,2197315.5266,2021048.8068,1101897.3898,1883058.9651
Coal CCS,"kg 1,4-DCB-Eq/GW",1719082.739,1477478.6567,1776162.6391,1621441.6749,1260276.1367,1543151.7439
Total,"kg 1,4-DCB-Eq/GW",1013807486886.3578,1537591898745.2385,1498823304235.735,1550255710714.5356,882487726445.6943,1165043232030.226
