,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,kg U235-Eq/GW,4848167730.5333,4847900444.7877,4848093048.4574,4847990818.3581,4847940201.9328,4848042604.6018
Natural Gas,kg U235-Eq/GW,15619637370.6773,20365051093.8025,18139098169.9621,18431641158.7161,14501137651.7569,17471501762.1164
Hydro,kg U235-Eq/GW,4017447553.6125,24014020.0709,4013189258.9834,3895930202.9143,4018033850.1875,4018165213.6918
Nuclear,kg U235-Eq/GW,2835301398.0429,40522730.4893,131417746.1642,40588090.2938,40636573.134,953016761.5135
Solar,kg U235-Eq/GW,23595571359.7029,35596042310.9082,37222306340.8972,37535298378.2854,21351033626.4555,23352363887.2814
Wind,kg U235-Eq/GW,15258947909.5814,29226606608.9707,24160792299.3252,26214042377.1925,14931075691.8247,23001108134.4876
Bio,kg U235-Eq/GW,0.0,3767240.9306,3775637.8045,3770032.2137,0.0,0.0
Bio CCS,kg U235-Eq/GW,2064039635.1109,2064039071.2751,2064039611.6241,2064039619.0977,1293890.3024,2064039692.599
Gas CCS,kg U235-Eq/GW,1547208.4891,1481193.6021,1620693.3664,1490682.7693,812736.1631,1388904.3864
Coal CCS,kg U235-Eq/GW,1387024.8576,1192089.0001,1433079.209,1308244.1336,1016841.3012,1245076.6792
Total,kg U235-Eq/GW,68242047190.6081,92170616803.8371,90585765885.7933,93036099603.9746,59692981063.0579,75710872037.3572
