,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,m2a/GW,942730215.348,942678241.4142,942715693.3567,942695814.6295,942685972.2239,942705884.5073
Natural Gas,m2a/GW,3111511859.6331,4056822607.1213,3613401370.3058,3671677433.7866,2888700980.1084,3480412742.5186
Hydro,m2a/GW,18164727799.7294,108578427.5073,18145474091.5485,17615291977.8746,18167378716.1513,18167972670.9616
Nuclear,m2a/GW,16983191206.6039,242727380.0901,787180055.2096,243118879.2298,243409286.925,5708481608.006
Solar,m2a/GW,27865571835.5525,42037722204.514,43958285027.9524,44327918039.5392,25214848676.9587,27578352035.2606
Wind,m2a/GW,20981495201.4737,40187430349.4034,33221788992.0039,36045067301.3262,20530661408.4545,31627189686.4721
Bio,m2a/GW,0.0,10980470.7798,11004945.3571,10988606.602,0.0,0.0
Bio CCS,m2a/GW,6006370857.181,6006369216.4144,6006370788.8339,6006370810.5824,3765230.5084,6006371024.4717
Gas CCS,m2a/GW,361337.1559,345919.9502,378498.9131,348136.0631,189807.4989,324366.6024
Coal CCS,m2a/GW,301649.1238,259254.62,311664.9896,284515.9512,221141.8821,270778.3407
Total,m2a/GW,94056261961.8011,93593914071.8147,106686911128.4706,108863761515.5845,67991861220.7113,93512080797.141
