,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,kg N-Eq/GW,40330976.5511,40328753.0522,40330355.2852,40329504.8526,40329083.7843,40329935.6524
Natural Gas,kg N-Eq/GW,126309129.4887,164683200.6792,146682899.5569,149048565.889,117264314.7803,141284341.3751
Hydro,kg N-Eq/GW,184395227.2593,1102209.9553,184199777.4879,178817750.715,184422137.4526,184428166.8538
Nuclear,kg N-Eq/GW,17992916.616,257158.5904,833981.3715,257573.3658,257881.0395,6047875.9455
Solar,kg N-Eq/GW,177583502.4162,267900690.7424,280140176.6144,282495797.5647,160690803.956,175753089.6617
Wind,kg N-Eq/GW,186671509.1109,357545932.6696,295572904.9313,320691497.1756,182660459.198,281385819.7912
Bio,kg N-Eq/GW,0.0,36988.8341,37071.2792,37016.2405,0.0,0.0
Bio CCS,kg N-Eq/GW,20236508.7831,20236503.2551,20236508.5528,20236508.6261,12685.7169,20236509.3467
Gas CCS,kg N-Eq/GW,12792.1457,12246.342,13399.7104,12324.7974,6719.6111,11483.3052
Coal CCS,kg N-Eq/GW,11768.7732,10114.7611,12159.54,11100.3263,8627.8012,10564.3565
Total,kg N-Eq/GW,753544331.1442,852113798.8815,968059234.3298,991937639.5532,685652713.34,849487786.2882
