,Unit,VRE-90%,VRE-85%,VRE-75%,VRE-80%,NDC-LTP,VRE-70%
Coal,kg Fe-Eq/GW,431419806.7069,431396021.976,431413161.0361,431404063.9726,431399559.8115,431408672.2313
Natural Gas,kg Fe-Eq/GW,2897188413.4775,3777385394.3374,3364507369.9087,3418769331.1405,2689724927.0193,3240679106.0516
Hydro,kg Fe-Eq/GW,32429919678.6711,193847643.7259,32395545576.471,31448998865.1149,32434652422.6783,32435712824.2985
Nuclear,kg Fe-Eq/GW,65117059309.9448,930666858.3776,3018210754.3343,932167946.859,933281429.8838,21887496343.6619
Solar,kg Fe-Eq/GW,647103414639.5222,976213721460.467,1020813658917.737,1029397397495.6812,585547455288.9376,640433502583.966
Wind,kg Fe-Eq/GW,702313566996.9178,1345193814173.324,1112032908281.6953,1206536500185.1868,687222807913.3684,1058656887390.6672
Bio,kg Fe-Eq/GW,0.0,98869202.1492,99089573.5683,98942457.8651,0.0,0.0
Bio CCS,kg Fe-Eq/GW,54059782868.7616,54059768101.195,54059782253.6107,54059782449.3559,33888607.3766,54059784374.4463
Gas CCS,kg Fe-Eq/GW,700591.4622,670699.2618,733866.1488,674996.0515,368015.0548,628909.7829
Coal CCS,kg Fe-Eq/GW,375024.6924,322317.8071,387476.8982,353723.9084,274934.2191,336644.6506
Total,kg Fe-Eq/GW,1504353427330.1565,2380900461872.621,2226216237231.408,2326324991515.136,1309293853098.3496,1811146436849.7563
